Game,Month,Day,Year
A Game of Thrones: Genesis,September,"28,",2011
Ace of Spades,December,"12,",2012
Aces of the Pacific,November,"8,",1992
Act of War: Direct Action,March,"15,",2005
Act of War: High Treason,March,"24,",2006
AdvertCity,April,"17,",2015
Age of Empires,October,"15,",1997
Age of Empires II: The Age of Kings,September,"30,",1999
Age of Empires II: The Conquerors,August,"24,",2000
Age of Empires II: The Forgotten,November,"7,",2013
Age of Empires II: HD Edition,April,"9,",2013
Age of Mythology,October,"30,",2002
Age of Wonders,October,"31,",1999
Age of Wonders II: The Wizard's Throne,June,"12,",2002
Age of Wonders III,March,"31,",2014
Age of Wonders: Shadow Magic,July,"25,",2003
Air Conflicts: Secret Wars,September,"30,",2011
Air Conflicts: Vietnam,November,"26,",2013
Airscape: The Fall of Gravity,August,"11,",2015
Alan Wake,May,"14,",2010
Alien Swarm,July,"19,",2010
Alpha Prime,May,"25,",2007
Amnesia: The Dark Descent,August,"8,",2010
Amnesia: A Machine for Pigs,September,"10,",2013
Anno 1503,March,"23,",2003
Anno 1602,September,"24,",1998
Anno 1701,November,"3,",2006
Anno 2070,November,"17,",2011
Anno 2205,November,"3,",2015
Anomaly: Warzone Earth,April,"8,",2011
Antichamber,January,"31,",2013
ARMA: Armed Assault,November,"10,",2006
ARMA 2,June,"26,",2009
ARMA 3,September,"12,",2013
Assetto Corsa,November,"8,",2013
Astebreed,May,"31,",2014
Astrofire,May,"31,",2014
Attack on Titan,February,"18,",2016
Attack on Titan 2,March,"15,",2018
Audiosurf,February,"15,",2008
Audiosurf 2,October,"2,",2013
Automation - The Car Company Tycoon Game,October,"2,",2013
A Bastard's Tale,May,"26,",2015
A Bird Story,November,"7,",2014
A Blind Legend,April,"7,",2016
A Bloody Night,May,"23,",2017
A Boy and His Blob,January,"19,",2016
A Butterfly in the District of Dreams,May,"12,",2017
A Chair in a Room : Greenwater,April,"5,",2016
A City Sleeps,October,"16,",2014
A Date in the Park,February,"14,",2015
A Day in the Woods,October,"28,",2011
A dead world's dream,September,"20,",2016
A Demon's Game: Episode 1,December,"19,",2016
A Detective's Novel,July,"28,",2016
A dragon girl looks up at the endless sky,October,"27,",2016
A Druid's Duel,February,"25,",2015
A Duel Hand Disaster: Trackher,August,"29,",2017
Baldur's Gate,December,"21,",1998
Baldur's Gate: Tales of the Sword Coast,April,"30,",1999
Baldur's Gate II: Shadows of Amn,September,"24,",2000
Baldur's Gate II: Throne of Bhaal,June,"21,",2001
Banished,February,"18,",2014
Bastion,August,"16,",2011
Batman: Arkham Asylum,September,"15,",2009
Batman: Arkham City,October,"18,",2011
Batman: Arkham Knight,June,"2,",2015
Batman: Arkham Origins,October,"25,",2013
BattleBlock Theater,May,"15,",2014
Battlefield 1942,September,"10,",2002
Battlefield 1942: The Road to Rome,February,"2,",2003
Battlefield 1942: Secret Weapons of WWII,September,"4,",2003
Battlefield 2,June,"21,",2005
Battlefield 2142,October,"17,",2006
Battlefield 3,October,"25,",2011
Battlefield 4,October,"29,",2013
Battlefield Heroes,June,"25,",2009
Battlefield Play4Free,April,"4,",2011
Battleforge,March,"23,",2009
Battleground 2: Gettysburg,December,"31,",1995
Battleground 3: Waterloo,May,"31,",1996
Battleground 4: Shiloh,January,"31,",1996
Battleground 5: Antietam,December,"31,",1996
Battleground 6: Napoleon in Russia,March,"30,",1997
Battleground 7: Bull Run,March,"30,",1997
Battleground 8: Prelude to Waterloo,March,"30,",1997
Battleground 9: Chickamauga,March,"30,",1997
Battleground 10: Middle East,March,"30,",1997
Battleground 11: East Front,March,"30,",1997
Battlehawks 1942,March,"30,",1997
Battles in Time,March,"30,",1997
Battles of Napoleon,March,"30,",1997
Battleship: Surface Thunder,September,"12,",2000
Beam Breakers,October,"31,",2002
Beasts and Bumpkins,October,"31,",2002
Beyond Divinity,October,"31,",2002
Blade Symphony,May,"7,",2014
Blades of Time,May,"7,",2014
Borderlands,October,"20,",2009
Borderlands 2,September,"18,",2012
Borderlands: The Pre-Sequel!,October,"14,",2014
Braid,April,"10,",2009
Bridge Project,March,"28,",2013
Burnout Paradise: The Ultimate Box,February,"3,",2009
Call of Duty,October,"29,",2003
Call of Duty 2,October,"25,",2005
Call of Duty 4: Modern Warfare,November,"5,",2007
Call of Duty: Black Ops,November,"9,",2010
Call of Duty: Black Ops 2,December,"12,",2012
Call of Duty: Ghosts,November,"5,",2013
Call of Duty: Infinite Warfare,November,"4,",2016
Call of Duty: Modern Warfare 2,November,"10,",2009
Call of Duty: Modern Warfare 3,November,"8,",2011
Call of Duty Online,January,"14,",2013
Call of Duty: United Offensive,September,"14,",2004
Call of Duty: World at War,November,"11,",2008
CarneyVale: Showtime,November,"11,",2010
CarneyVale: Showtime,November,"11,",2010
Champions of Krynn,June,"1,",1990
Chaos Island: The Lost World,October,"30,",1997
Chivalry: Medieval Warfare,October,"16,",2012
Cities in Motion,February,"23,",2011
,April,"2,",2013
,April,"2,",2013
Civilization III,October,"30,",2001
Civilization III: Conquests,November,"4,",2003
Civilization III: Play the World,October,"31,",2002
Civilization IV,October,"25,",2005
Civilization V,September,"21,",2010
Civilization V: Brave New World,March,"15,",2013
Civilization V: Gods & Kings,February,"16,",2012
Civilization VI,October,"21,",2016
The Club,February,"7,",2008
Cobalt,February,"7,",2008
Command & Conquer,February,"7,",2008
Command & Conquer: Generals,February,"14,",2003
Command & Conquer: Red Alert 2,October,"26,",2000
Command & Conquer: Renegade,February,"26,",2002
Command & Conquer: Tiberian Sun,August,"27,",1999
Command & Conquer 4: Tiberian Twilight,March,"16,",2010
Commandos: Behind Enemy Lines,July,"31,",1998
Commandos: Beyond the Call of Duty,March,"31,",1999
Commandos: Strike Force,March,"17,",2006
Commandos 2: Men of Courage,September,"21,",2001
Commandos 3: Destination Berlin,October,"23,",2003
Company of Heroes,September,"12,",2006
Company of Heroes 2,June,"25,",2013
Contagion,April,"14,",2014
Cossacks II: Battle for Europe,June,"19,",2006
Counter-Strike,June,"19,",1999
Counter-Strike: Condition Zero,March,"23,",2004
Counter-Strike: Global Offensive,August,"12,",2012
Counter-Strike Online,June,"24,",2008
Counter-Strike: Source,September,"1,",2004
Crusader Kings,August,"27,",2004
Crusader Kings II,February,"14,",2012
Cryostasis: Sleep of Reason,February,"27,",2009
Crysis,November,"13,",2007
Crysis 2,March,"22,",2011
Crysis 3,February,"19,",2013
Curse of the Azure Bonds,September,"1,",1989
The Cursed Crusade,October,"25,",2011
Damnation,May,"25,",2009
Dark Sun Online: Crimson Sands,February,"1,",1996
Dark Sun: Shattered Lands,September,"1,",1993
Dark Sun: Wake of the Ravager,September,"1,",1993
Darksiders 2,August,"14,",2012
Darkstone: Evil Reigns,July,"31,",1999
Daryl F. Gates' Police Quest: SWAT,September,"30,",1995
Day of Defeat,August,"4,",2000
Day of Defeat: Source,September,"26,",2005
DayZ,December,"16,",2013
Dead Island,October,"20,",2011
Deadlight,August,"1,",2012
Dear Esther,February,"14,",2012
Death Knights of Krynn,January,"15,",1991
Deathmatch Classic,June,"1,",2001
Defcon,September,"29,",2006
Delta Force,November,"1,",1998
Delta Force 2,November,"3,",1999
Delta Force: Black Hawk Down,March,"24,",2003
Delta Force: Black Hawk Down: Team Sabre,January,"20,",2004
Delta Force: Land Warrior,November,"7,",2000
Delta Force: Task Force Dagger,June,"27,",2002
Delta Force: Xtreme,April,"22,",2005
Delta Force: Xtreme 2,June,"2,",2009
Democracy 3,October,"14,",2013
Deus Ex,June,"26,",2000
Deus Ex: Human Revolution,August,"23,",2011
Deus Ex: Invisible War,December,"3,",2003
Deus Ex: Invisible War,December,"3,",2003
Diablo,December,"31,",1996
Diablo II,June,"29,",2000
Digital Combat Simulator,December,"10,",2008
Dino D-Day,April,"8,",2011
Dirt 3,May,"24,",2011
Divine Divinity,September,"22,",2002
Dofus,September,"22,",2002
Doom,December,"10,",1993
Dota 2,July,"9,",2013
Dragon Age II,March,"8,",2011
Dragon Age: Inquisition,November,"18,",2014
Dragon Age: Origins,November,"3,",2009
Dragon Age: Origins – Awakening,March,"16,",2010
Dragon Quest X,August,"2,",2012
Dragon Quest X,August,"2,",2012
Dragons of Flame,September,"1,",1989
DragonStrike,September,"1,",1989
DRAMAtical Murder,March,"23,",2012
Duke Nukem,July,"1,",1991
Dune,November,"1,",1992
Dungeon Defenders,October,"19,",2011
Dungeon Keeper,June,"26,",1997
Dungeon Keeper 2,June,"30,",1999
Dungeons & Dragons Online,February,"28,",2006
Dungeons of Dredmor,July,"13,",2011
Dwarf Fortress,August,"8,",2006
The Elder Scrolls: Arena,August,"8,",2006
The Elder Scrolls Adventures: Redguard,October,"31,",1998
The Elder Scrolls II: Daggerfall,August,"31,",1996
The Elder Scrolls III: Bloodmoon,July,"3,",2003
The Elder Scrolls III: Morrowind,May,"1,",2002
The Elder Scrolls III: Tribunal,November,"6,",2002
The Elder Scrolls IV: Oblivion,March,"20,",2006
The Elder Scrolls V: Skyrim,November,"11,",2011
An Elder Scrolls Legend: Battlespire,November,"30,",1997
Emily Wants to Play,December,"10,",2015
Empire: Total War,March,"3,",2009
Empire Earth,November,"12,",2001
Empire Earth II,April,"26,",2005
Empire Earth III,November,"6,",2007
Empires Apart,November,"6,",2007
Enclave,March,"10,",2003
Endless Space,July,"4,",2012
Epic Battle Fantasy,March,"1,",2009
Epic Battle Fantasy 2,August,"20,",2009
Epic Battle Fantasy 3,September,"12,",2010
Epic Battle Fantasy 4,September,"12,",2013
Euro Truck Simulator,August,"29,",2008
Euro Truck Simulator 2,October,"19,",2012
Europa Universalis,March,"14,",2000
Europa Universalis II,November,"12,",2001
Europa Universalis III,January,"23,",2007
Europa Universalis IV,August,"13,",2013
Eve Online,May,"6,",2003
Event 0,September,"14,",2016
Eye of the Beholder,April,"16,",1990
Eye of the Beholder II: The Legend of Darkmoon,December,"12,",1991
Eye of the Beholder III: Assault on Myth Drannor,August,"3,",1992
Factorio,August,"3,",1992
A Fairy Tale,March,"12,",2009
Fallout,November,"1,",1997
Fallout 2,December,"1,",1998
Fallout 3,October,"28,",2008
Fallout 4,November,"10,",2015
Fallout: New Vegas,October,"19,",2012
Fallout Tactics: Brotherhood of Steel,March,"15,",2001
Far Cry,March,"12,",2004
Far Cry 2,October,"21,",2008
Far Cry 3,November,"29,",2012
Far Cry 3: Blood Dragon,May,"1,",2013
Far Cry 4,November,"18,",2014
Far Cry Primal,February,"23,",2016
Fez,May,"1,",2013
Fiesta Online,November,"7,",2007
Final Fantasy VII,May,"31,",1998
Final Fantasy VIII,February,"11,",1999
Final Fantasy XI,May,"16,",2002
Firefall,July,"29,",2014
Fistful of Frags,December,"20,",2007
Five Nights at Freddy's,August,"8,",2014
Five Nights at Freddy's 2,November,"10,",2014
Five Nights at Freddy's 3,March,"2,",2015
FlatOut,November,"5,",2004
FlatOut 2,June,"30,",2006
FlatOut 3: Chaos & Destruction,December,"13,",2011
FlatOut: Ultimate Carnage,July,"22,",2007
For the Glory: A Europa Universalis Game,November,"11,",2009
The Forest,May,"30,",2013
A Fork in the Tale,February,"28,",1997
Fortnite,July,"25,",2017
Fragile Allegiance,July,"25,",2017
Fragmented,July,"25,",2017
Freelancer,March,"4,",2003
FTL: Faster Than Light,September,"14,",2012
Game Dev Tycoon,December,"10,",2012
Garry's Mod,August,"29,",2013
Goat Simulator,April,"1,",2014
Gone Home,August,"15,",2013
Gothic,April,"15,",2001
Gothic II,November,"29,",2002
Gothic 3,October,"13,",2006
Gothic 3: Forsaken Gods,November,"21,",2008
Arcania: Gothic 4,October,"14,",2010
Arcania: Fall of Setarrif,October,"25,",2011
Grand Theft Auto,October,"25,",2011
Grand Theft Auto: The Ballad of Gay Tony,April,"13,",2010
Grand Theft Auto: London 1961,June,"1,",1999
Grand Theft Auto: London 1969,March,"31,",1999
Grand Theft Auto 2,October,"27,",1999
Grand Theft Auto III,May,"21,",2002
Grand Theft Auto IV,December,"2,",2008
Grand Theft Auto: The Lost and Damned,April,"13,",2010
Grand Theft Auto: San Andreas,June,"7,",2005
Grand Theft Auto: Vice City,May,"12,",2003
Grand Theft Auto V,April,"14,",2015
Grid 2,May,"27,",2013
Ground Control,June,"1,",2000
Ground Control II: Operation Exodus,June,"18,",2004
Growtopia,November,"30,",2012
GTR Evolution,August,"1,",2008
Guild Wars,April,"26,",2005
Guild Wars 2,August,"28,",2012
Guild Wars Factions,April,"28,",2006
Guild Wars Nightfall,October,"27,",2006
Guitar Hero III: Legends of Rock,November,"13,",2007
Gunpoint,June,"3,",2013
Half-Life,November,"19,",1998
Half-Life 2,November,"16,",2004
Half-Life: Blue Shift,June,"12,",2001
Half-Life Deathmatch: Source,May,"1,",2006
Half-Life: Opposing Force,November,"10,",1999
Half-Life: Source,June,"1,",2004
Half-Life 2: Deathmatch,November,"30,",2004
Half-Life 2: Episode One,June,"1,",2006
Half-Life 2: Episode Two,October,"10,",2007
Half-Life 2: Lost Coast,October,"27,",2005
Halo: Combat Evolved,September,"30,",2003
Halo 2,May,"17,",2007
Hard Truck Apocalypse,June,"19,",2006
Harvester,September,"25,",1996
A Hat in Time,September,"25,",1996
Hatoful Boyfriend: A School of Hope and White Wings,August,"24,",2014
Hearts of Iron,November,"24,",2002
Hearts of Iron II,January,"4,",2005
Hearts of Iron III,August,"7,",2009
Hello Neighbor,December,"8,",2017
Heroes of the Lance,November,"1,",1988
Heroes of Might and Magic: A Strategic Quest,August,"31,",1995
Heroes of Might and Magic II,October,"1,",1996
Heroes of Newerth,May,"12,",2010
Hitman: Absolution,November,"19,",2012
Hitman: Blood Money,May,"30,",2006
Hitman: Codename 47,November,"19,",2000
Hitman: Contracts,April,"20,",2004
Hitman 2: Silent Assassin,October,"1,",2002
Hogs of War,November,"3,",2000
Homeworld,September,"28,",1999
Homeworld: Cataclysm,June,"30,",2000
Homeworld 2,September,"16,",2003
Hotline Miami,October,"23,",2012
Hugo's House of Horrors,October,"23,",2012
I.G.I.-2: Covert Strike,March,"3,",2003
Icewind Dale,June,"29,",2000
Icewind Dale II,August,"27,",2002
Identity,August,"27,",2002
Insurgency,January,"22,",2014
Jade Empire,February,"26,",2007
James Bond 007: Nightfire,November,"28,",2002
Jazz Jackrabbit,July,"30,",1994
